Player,Team,AB,1B,2B,3B,HR,TB/AB,BB/K
C Bender,BOR,33,7,1,,1,0.39,0.2
K. Fedko,BOR,50,11,,,,0.22,0.21
D. Rushing,BOR,118,22,9,0,6,0.54,0.55
C. Knapczyk,BOR,109,26,8,1,0,0.41,0.81
C. Wallace,BOR,62,11,5,,2,0.47,0.32
R. Crawford,BOR,27,5,2,,1,0.48,0.13
M. Anderson,BOR,120,23,8,0,3,0.43,0.33
J. Lampe,BOR,108,26,1,1,0,0.29,0.95
N. Goodwin,BOR,68,13,1,0,1,0.28,0.22
B. Wimmer,BOR,85,16,6,,2,0.42,0.15
T. Schobel,BOR,86,18,5,0,3,0.47,0.36
C. Thomas,BOR,92,10,5,2,4,0.46,0.33
P. Burns,BOR,55,8,2,0,0,0.22,0.65
Z. Agnos,BOR,76,7,3,2,3,0.41,0.37
J. Moylan,BOR,61,10,,,1,0.23,0.39
S. Goosenberg,BRE,37,8,1,,1,0.38,0.29
C. Davis,BRE,50,19,,,2,0.54,0.9
C. Castillo,BRE,51,13,2,0,2,0.49,0.81
Z. Neto,BRE,46,7,4,,3,0.59,1
J. Thompson,BRE,108,16,9,2,3,0.48,0.91
K. Byrne,BRE,79,13,2,0,0,0.22,0.19
C. Lanzilli,BRE,55,6,3,0,1,0.29,0.29
A. Freeland,BRE,66,13,3,0,0,0.29,0.88
S. Jones,BRE,77,17,4,0,3,0.48,0.29
W. Simpson,BRE,76,11,2,0,3,0.36,0.43
D. Carter,BRE,29,2,2,,,0.21,0.63
N. Biddison,BRE,75,8,2,1,0,0.2,0.43
T. Faltine,BRE,65,7,1,0,2,0.26,0.31
M. Bingham,BRE,59,6,1,1,0,0.19,0.42
C. Weiss,BRE,51,3,0,0,3,0.29,0.65
P. Brown,BRE,51,6,1,0,1,0.24,0.26
A. Benefield,CHA,36,2,2,,2,0.39,0.43
G. Martin,CHA,42,6,2,0,1,0.33,0.28
M. Hogan,CHA,88,10,6,0,4,0.43,0.29
D. Serretti,CHA,85,18,4,0,2,0.4,0.44
C. Grice,CHA,28,5,0,0,2,0.46,0.33
N. McClean,CHA,23,4,0,0,2,0.52,0.75
K. Levari,CHA,37,4,2,0,0,0.22,0.09
K. Parada,CHA,28,5,2,0,0,0.32,1.33
M. Romero Jr,CHA,91,13,6,0,5,0.49,0.17
J. Rivera,CHA,117,22,6,0,1,0.32,0.39
J. Castagnozzi,CHA,39,6,0,1,2,0.44,0.17
L. Miller-Green,CHA,125,20,3,0,8,0.46,0.33
M. Garcia,CHA,60,6,3,0,0,0.2,0.24
J. DeLeo,CHA,111,22,3,0,1,0.29,0.2
L. Britt,CHA,46,5,2,,1,0.28,0.2
C. Trenkle,CHA,97,11,5,1,1,0.29,0.32
D. Mendham,CHA,31,4,1,0,0,0.19,0.62
D. Tamez,CHA,43,1,2,0,1,0.21,0.2
D. Beavers,COT,30,5,2,,,0.3,0.5
J. Rhodes,COT,33,5,5,,,0.45,0.11
B. Rice,COT,34,6,3,,,0.35,0.55
R. Schreck,COT,39,7,1,,1,0.33,1.25
A. Garriola,COT,43,7,1,,3,0.49,0.31
