,Player,Team,AB,1B,2B,3B,HR,TB/AB,BB/K,Profile
0,C Bender,BOR,33,7,1.0,0.0,1.0,0.2718529347065734,-0.768008315505824,HIT
1,K. Fedko,BOR,50,11,0.0,0.0,0.0,-1.1480054652367944,-0.735176442839607,-AVG
2,D. Rushing,BOR,118,22,9.0,0.0,6.0,1.5246691699507213,0.38110722781177536,ELITE
3,C. Knapczyk,BOR,109,26,8.0,1.0,0.0,0.4388950994057928,1.2347359171334207,ELITE
4,C. Wallace,BOR,62,11,5.0,0.0,2.0,0.9400215935034518,-0.37402584351121865,HIT
6,M. Anderson,BOR,120,23,8.0,0.0,3.0,0.6059372641050126,-0.34119397084500147,HIT
7,J. Lampe,BOR,108,26,1.0,1.0,0.0,-0.5633578887895254,1.6943821344604602,Eye
8,N. Goodwin,BOR,68,13,1.0,0.0,1.0,-0.646878971139135,-0.7023445701733899,-AVG
9,B. Wimmer,BOR,85,16,6.0,0.0,2.0,0.5224161817554026,-0.9321676788369099,HIT
10,T. Schobel,BOR,86,18,5.0,0.0,3.0,0.9400215935034518,-0.24269835284635016,HIT
11,C. Thomas,BOR,92,10,5.0,2.0,4.0,0.8565005111538424,-0.34119397084500147,HIT
12,P. Burns,BOR,55,8,2.0,0.0,0.0,-1.1480054652367944,0.7094259544739465,Eye
13,Z. Agnos,BOR,76,7,3.0,2.0,3.0,0.4388950994057928,-0.209866480180133,AVG
14,J. Moylan,BOR,61,10,0.0,0.0,1.0,-1.0644843828871844,-0.14420273484769872,-AVG
15,S. Goosenberg,BRE,37,8,1.0,0.0,1.0,0.18833185235696345,-0.47252146150987007,AVG
16,C. Davis,BRE,50,19,0.0,0.0,2.0,1.5246691699507213,1.5302227711293748,ELITE
17,C. Castillo,BRE,51,13,2.0,0.0,2.0,1.1070637582026717,1.2347359171334207,ELITE
18,Z. Neto,BRE,46,7,4.0,0.0,3.0,1.94227458169877,1.858541497791546,ELITE
19,J. Thompson,BRE,108,16,9.0,2.0,3.0,1.0235426758530617,1.563054643795592,ELITE
20,K. Byrne,BRE,79,13,2.0,0.0,0.0,-1.1480054652367944,-0.8008401881720413,-AVG
